name,url,lean,score
American Press,/news-source/american-press,Lean Left,
American Psychological Association,/news-source/american-psychological-association-media-bias,Center,
American Press,/news-source/american-press,Lean Left,
American Values Coalition,/news-source/american-values-coalition-media-bias,Center,
American Thinker,/news-source/american-thinker,Right,4.0
Americans for Tax Reform,/news-source/americans-tax-reform,Right,
Americans for Democratic Action,/news-source/americans-democratic-action,Left,
Amnesty International,/news-source/amnesty-international,Lean Left,
Ammo.com,/news-source/ammocom-media-bias,Right,
Anand Giridharadas,/news-source/anand-giridharadas-media-bias,Left,
Ana Marie Cox,/news-source/ana-marie-cox-media-bias,Lean Left,
Anchorage Press,/news-source/anchorage-press-media-bias,Center,
Anchorage Daily News,/news-source/anchorage-daily-news,Center,
Anderson Independent-Mail,/news-source/anderson-independent-mail-media-bias,Center,
Anderson Cooper,/news-source/anderson-cooper-media-bias,Lean Left,
Andrew C. McCarthy,/news-source/andrew-c-mccarthy-media-bias,Right,
Andreas Raduege,/news-source/andreas-raduege-media-bias,Left,
Andrew Napolitano,/news-source/andrew-napolitano,Right,
Andrew Giuliani,/news-source/andrew-giuliani-media-bias,Lean Right,
Andrew Sullivan,/news-source/andrew-sullivan-media-bias,Lean Right,
Andrew Stuttaford,/news-source/andrew-stuttaford-media-bias,Lean Right,
Andrew Weinzierl,/news-source/andrew-weinzierl-media-bias,Lean Left,
Andrew Sullivan,/news-source/andrew-sullivan-media-bias-0,Lean Left,
Andy Gorel,/news-source/andy-gorel-media-bias,Center,
Andrew Yang,/news-source/andrew-yang-media-bias,Lean Left,
Andy Ngo,/news-source/andy-ngo-media-bias,Lean Right,
Andy Meek,/news-source/andy-meek-media-bias,Lean Left,
Ann Coulter,/news-source/ann-coulter,Right,
Andy Stanley,/news-source/andy-stanley-media-bias,Center,
Anne Applebaum,/news-source/anne-applebaum-media-bias,Center,
Annafi Wahed,/news-source/annafi-wahed-media-bias,Lean Left,
Antonio Ferme,/news-source/antonio-ferme-media-bias,Center,
Anthony LaMesa,/news-source/anthony-lamesa-media-bias,Center,
April Gardner,/news-source/april-gardner-media-bias,Center,
Antony Blinken,/news-source/antony-blinken-media-bias,Lean Left,
Arc Digital,/news-source/arc-digital-media-bias,Center,
Aquinas College Saint,/news-source/aquinas-college-saint,Left,-4.0
Ari Hoffman,/news-source/ari-hoffmann-media-bias,Right,
Argus Leader,/news-source/argus-leader-media-bias,Center,
Arizona Mirror,/news-source/arizona-mirror-media-bias,Center,
Arizona Daily Star: tucson.com,/news-source/arizona-daily-star-tucsoncom-media-bias,Center,
Arkansas Democrat-Gazette,/news-source/arkansas-democrat-gazette,Left,-4.0
Arkadi Gerney,/news-source/arkadi-gerney,Lean Left,
Asbury Park Press,/news-source/asbury-park-press-media-bias,Center,
Ars Technica,/news-source/ars-technica-media-bias,Center,
Associated Press Fact Check,/news-source/ap-fact-check-media-bias,Lean Left,-4.5
Associated Press,/news-source/associated-press-media-bias,Lean Left,-1.5
Atlanta Black Star,/news-source/atlanta-black-star-media-bias,Lean Left,-2.0
Association for Psychological Science,/news-source/association-psychological-science,Center,
Atlas Network,/news-source/atlas-network,Right,
Atlanta Journal-Constitution,/news-source/atlanta-journal-constitution,Lean Left,-2.0
Atlas Network,/news-source/atlas-network,Right,
AtlasOne,/news-source/atlasone,Lean Right,
Attitude Magazine,/news-source/attitude-magazine-media-bias,Lean Left,-2.0
AtlasOne,/news-source/atlasone,Lean Right,
Austin Daily Herald,/news-source/austin-daily-herald-media-bias,Center,
Austin American-Statesman,/news-source/austin-american-statesman,Lean Left,-2.0
Avenue News,/news-source/avenue-news-media-bias,Center,
Avanti Giridharan,/news-source/avanti-giridharan-media-bias,Center,
Axios,/news-source/axios,Lean Left,-1.7
Avoyelles Journal,/news-source/avoyelles-journal-media-bias,Center,
azcentral,/news-source/azcentral-media-bias,Center,
AZ Central,/news-source/az-central-media-bias,Center,
Ballotpedia,/news-source/ballotpedia,Center,
Babylon Bee (Humor),/news-source/babylon-bee-media-bias,Lean Right,2.5
Bangor Daily News,/news-source/bangor-daily-news-media-bias,Lean Left,-2.0
Baltimore Sun,/news-source/baltimore-sun,Center,
Baptist Press,/news-source/baptist-press-media-bias,Center,
Baptist News Global,/news-source/baptist-news-global-media-bias,Lean Left,-2.0
Bari Weiss,/news-source/bari-weiss-media-bias,Center,
Baptist Standard,/news-source/baptist-standard-media-bias,Center,
Barron's,/news-source/barrons-media-bias,Center,
Barnstable Patriot,/news-source/barnstable-patriot,Center,
BBC Fact Check,/news-source/reality-check-bbc-media-bias,Center,-0.3
Bartlesville Examiner-Enterprise,/news-source/bartlesville-examiner-enterprise-media-bias,Center,
Bearing Drift,/news-source/bearing-drift,Right,4.0
BBC News,/news-source/bbc-news-media-bias,Center,-0.8
Beaver County Times,/news-source/beaver-county-times-media-bias,Center,
Beaumont Enterprise,/news-source/beaumont-enterprise-media-bias,Center,
Belleville News-Democrat,/news-source/belleville-news-democrat-media-bias,Center,
Bella Jasper,/news-source/bella-jasper-media-bias,Lean Left,
Ben Shapiro,/news-source/ben-shapiro,Right,
Ben Sargent (cartoonist),/news-source/ben-sargent-cartoonist,Left,
Bergen Record (northjersey.com),/news-source/bergen-record-northjerseycom-media-bias,Lean Left,
Ben Stein,/news-source/ben-stein,Lean Right,
BET,/news-source/bet-media-bias,Lean Left,-2.0
Bernie Goldberg,/news-source/bernie-goldberg-media-bias,Lean Right,
Beth Hicks,/news-source/beth-hicks-media-bias,Right,
Beth Ballentine,/news-source/beth-ballentine,Center,
Beyond Today,/news-source/beyond-today-media-bias,Right,4.0
Better Government Association,/news-source/better-government-association-media-bias,Center,
Biblical Sexology,/news-source/biblical-sexology-media-bias,Right,4.0
Biblical Gender Roles,/news-source/biblical-gender-roles-media-bias,Right,4.0
Billings Gazette,/news-source/billings-gazette-media-bias,Center,
Bill de Blasio,/news-source/bill-de-blasio-media-bias,Lean Left,
Bipartisan Policy Center,/news-source/bipartisan-policy-center-media-bias-0,Center,
Billy Binion,/news-source/billy-binion,Center,
Black Agenda Report,/news-source/black-agenda-report-media-bias,Left,-4.0
Bizpac Review,/news-source/bizpac-review-media-bias,Right,4.0
Black Enterprise,/news-source/black-enterprise-media-bias,Lean Left,-2.0
Black Community News,/news-source/black-community-news-media-bias,Right,4.0
Black News Channel,/news-source/black-news-channel-media-bias,Lean Left,-2.0
Black News,/news-source/black-news-media-bias,Left,-4.0
Black News Channel,/news-source/black-news-channel-media-bias,Lean Left,-2.0
Blavity,/news-source/blavity-media-bias,Left,-4.0
Block Club Chicago,/news-source/book-club-chicago-media-bias,Left,-4.0
Blavity,/news-source/blavity-media-bias,Left,-4.0
Blue Virginia,/news-source/blue-virginia,Left,-4.0
Bloomberg,/news-source/bloomberg-media-bias,Lean Left,-2.4
Bob Barr,/news-source/bob-barr-media-bias,Right,
Bluefield Daily Telegraph,/news-source/bluefield-daily-telegraph-media-bias,Center,
Boing Boing,/news-source/boing-boing,Left,-4.0
Bob Gorrell (cartoonist),/news-source/bob-gorrell-cartoonist,Right,
Bonner County Daily Bee,/news-source/bonner-county-daily-bee-media-bias,Center,
Bolts,/news-source/bolts-media-bias,Left,
Boston Herald,/news-source/boston-herald-media-bias,Lean Right,2.0
Bonnie Kristian,/news-source/bonnie-kristian-media-bias,Center,
Bowling Green Daily News,/news-source/bowling-green-daily-news,Lean Left,-2.0
Boston Review,/news-source/boston-review-media-bias,Lean Left,-2.0
Bozeman Daily Chronicle,/news-source/bozeman-daily-chronicle-media-bias,Center,
Box Elder News Journal,/news-source/box-elder-news-journal-media-bias,Center,
Brad Polumbo,/news-source/brad-polumbo-media-bias,Lean Right,
Brad Parscale,/news-source/brad-parscale-media-bias,Right,
Brandon Rennels,/news-source/brandon-rennels-media-bias,Lean Left,
Brad Raffensperger,/news-source/brad-raffensperger-media-bias,Lean Right,
Braver Angels,/news-source/braver-angels-media-bias,Mixed,
Braver Angels,/news-source/braver-angels-media-bias-0,Mixed,
Breitbart News,/news-source/breitbart,Right,5.0
Breitbart Fact Check,/news-source/breitbart-fact-check-media-bias,Right,5.0
Brent Bozell,/news-source/brent-bozell,Right,
Brennan Center for Justice,/news-source/brennan-center-justice-media-bias,Lean Left,
Bridge Alliance,/news-source/bridge-alliance-media-bias,Lean Left,
Bret Stephens,/news-source/bret-stephens,Lean Right,
BridgeUSA,/news-source/bridgeusa-media-bias,Mixed,
Bridgemi.com,/news-source/bridgemicom-media-bias,Center,
Brookings Institution,/news-source/brookings-institute,Center,
Bridging Divides Initiative,/news-source/bridging-divides-initiative-media-bias,Center,
Brownstone Institute,/news-source/brownstone-institute-media-bias,Right,4.0
Brown Girl Magazine,/news-source/brown-girl-magazine-media-bias,Left,-4.0
Bruce Yandle,/news-source/bruce-yandle-media-bias,Center,
Bruce Golding,/news-source/bruce-golding-media-bias,Lean Right,
Burlington County Times,/news-source/burlington-county-times-media-bias,Center,
Brush News-Tribune,/news-source/brush-news-tribune-media-bias,Center,
Bustle,/news-source/bustle,Lean Left,-2.0
Burlington Free Press,/news-source/burlington-free-press-media-bias,Center,
Byron Donalds,/news-source/byron-donalds-media-bias,Lean Right,2.0
BuzzFeed News,/news-source/buzzfeed-media-bias,Left,-4.0
Byron York,/news-source/byron-york-media-bias,Right,
Byron Donalds,/news-source/byron-donalds-media-bias-0,Lean Right,
Cal Thomas,/news-source/cal-thomas-media-bias,Right,
C-SPAN,/news-source/c-span,Center,
CalMatters,/news-source/calmatters,Center,
Caleb Paxton,/news-source/caleb-paxton-media-bias,Lean Right,
Cambria Findley-Grubb,/news-source/cambria-findley-grubb-media-bias,Left,
CalWatchdog,/news-source/calwatchdog,Center,
Cambria Findley-Grubb,/news-source/cambria-findley-grubb-media-bias,Left,
Candace Owens,/news-source/candace-owens-media-bias,Right,
Cape Cod Times,/news-source/cape-cod-times-media-bias,Center,
Candace Owens,/news-source/candace-owens-media-bias,Right,
Capital & Main,/news-source/capital-main-media-bias,Lean Left,
Cape Gazette,/news-source/cape-gazette-media-bias,Center,
Capitol Weekly,/news-source/capitol-weekly-media-bias-0,Center,
Capital Research Center,/news-source/capital-research-center-media-bias,Lean Right,
Carlsbad Current-Argus,/news-source/carlsbad-current-argus-media-bias,Center,
Care2,/news-source/care-2,Left,-5.0
Carriage Towne News,/news-source/carriage-towne-news,Center,
