name,url,lean,score
Karol Markowicz,/news-source/karol-markowicz-media-bias,Right,4.5
"""The Conversation"" Contributor",/news-source/conversation-contributor-media-bias,Lean Left,-2.0
"""USA Today"" Contributor",/news-source/usa-today-contributor-media-bias,Lean Left,-2
"""The Fulcrum"" Contributor",/news-source/fulcrum-contributor-media-bias,Center,0
Aaron Rupar,/news-source/aaron-rupar-media-bias,Left,-4.5
A Project for America,/news-source/project-america-media-bias,Center,0
AARP,/news-source/aarp-media-bias,Center,0
Aaron Withe,/news-source/aaron-withe-media-bias,Right,4.5
Aberdeen News,/news-source/aberdeen-news-media-bias,Center,0
ABC News (Online),/news-source/abc-news-media-bias,Lean Left,-2.4
Above The Law,/news-source/above-law-media-bias,Lean Left,-2.0
ACLU,/news-source/american-civil-liberties-union,Lean Left,-2
Accuracy in Media,/news-source/accuracy-media,Right,4.5
Addison County Independent,/news-source/addison-county-independent-media-bias,Center,0
Adam Serwer,/news-source/adam-serwer-media-bias,Left,-4.5
Advocate,/news-source/advocate-media-bias-0,Lean Left,-2.0
Adventist Today,/news-source/adventist-today-media-bias,Lean Left,-2.0
AframNews,/news-source/aframnews-media-bias,Left,-4.0
AFP Fact Check,/news-source/afp-fact-check-media-bias,Center,0
African American Intellectual History Society,/news-source/african-american-intellectual-history-society-media-bias,Left,-4.5
African American Conservatives,/news-source/african-american-conservatives-media-bias,Right,4.0
Aidanne DePoy,/news-source/aidanne-depoy-media-bias,Left,-4.5
Afro,/news-source/afro-media-bias,Left,-4.0
AJ+,/news-source/aj-media-bias,Left,-4.0
Aiken Standard,/news-source/aiken-standard-media-bias,Center,0
Al Cardenas,/news-source/al-cardenas,Right,4.5
Akron Beacon Journal,/news-source/akron-beacon-journal-media-bias,Center,0
Alabama News Network,/news-source/alabama-news-network-media-bias,Center,0
Al Jazeera,/news-source/al-jazeera-media-bias,Lean Left,-2.3
Alan Dershowitz,/news-source/alan-dershowitz-media-bias,Lean Right,2
Alamosa News,/news-source/alamosa-news-media-bias,Center,0
Albany Democrat-Herald,/news-source/albany-democrat-herald-media-bias,Center,0
Alan Z. Rozenshtein,/news-source/alan-z-rozenshtein-media-bias,Lean Left,-2
Albert Mohler,/news-source/albert-mohler-media-bias,Center,0
Albert Lea Tribune,/news-source/albert-lea-tribune-media-bias,Center,0
Alex Pareene,/news-source/alex-pareene-media-bias,Lean Left,-2
Albuquerque Journal,/news-source/albuquerque-journal-media-bias,Center,0
Alleghany News,/news-source/alleghany-news-media-bias,Center,0
Alice Sheehan,/news-source/alice-sheehan-media-bias,Center,0
Alpha News,/news-source/alpha-news-media-bias,Right,4.0
Allysia Finley (Wall Street Journal),/news-source/allysia-finley,Right,4.5
America's 1st Freedom,/news-source/americas-1st-freedom-media-bias,Lean Right,2.5
AlterNet,/news-source/alternet-media-bias,Left,-4.5
American Conservative Union,/news-source/american-conservative-union,Right,4.5
American Conservation Coalition,/news-source/american-conservation-coalition-media-bias,Lean Right,2
American Greatness,/news-source/american-greatness-media-bias,Right,4.4
American Enterprise Institute,/news-source/american-enterprise-institute,Lean Right,2
American Press,/news-source/american-press,Lean Left,-2.0
American Psychological Association,/news-source/american-psychological-association-media-bias,Center,0.0
American Values Coalition,/news-source/american-values-coalition-media-bias,Center,0.0
American Thinker,/news-source/american-thinker,Right,4.0
Americans for Tax Reform,/news-source/americans-tax-reform,Right,4.5
Americans for Democratic Action,/news-source/americans-democratic-action,Left,-4.5
Amnesty International,/news-source/amnesty-international,Lean Left,-2.0
Ammo.com,/news-source/ammocom-media-bias,Right,4.5
